Stage 2,,,Stage 3,,,Stage 4,,,Stage 5,,,Stage 6,,,Stage 7,,,Stage 8,,,Stage 9,,,Stage 10,,,Stage 11,,,Stage 12,,,Stage 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,954856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,846844,,144.0,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,780226,,132.0,-,,132.0,-1051070,
,,,,,,,,,,,,,,,,,,,,,,,,120.0,717858,,120.0,-,,120.0,-926914,,120.0,-,
,,,,,,,,,,,,,,,,,,,,,108.0,659625,,108.0,-,,108.0,-850980,,108.0,-,,108.0,298730,
,,,,,,,,,,,,,,,,,,96.0,605954,,96.0,-,,96.0,-780373,,96.0,-,,96.0,265583,,96.0,-,
,,,,,,,,,,,,,,,84.0,555655,,84.0,-,,84.0,-714396,,84.0,-,,84.0,245422,,84.0,-,,84.0,-62480,
,,,,,,,,,,,,72.0,511486,,72.0,-,,72.0,-655616,,72.0,-,,72.0,226418,,72.0,-,,72.0,-53973,,72.0,-,
,,,,,,,,,60.0,458629,,60.0,-,,60.0,-596873,,60.0,-,,60.0,205794,,60.0,-,,60.0,-49193,,60.0,-,,60.0,32564,
,,,,,,48.0,438576,,48.0,-,,48.0,-554716,,48.0,-,,48.0,193816,,48.0,-,,48.0,-43702,,48.0,-,,48.0,31755,,48.0,-,
,,,36.0,327585,,36.0,-,,36.0,-460338,,36.0,-,,36.0,166815,,36.0,-,,36.0,-29987,,36.0,-,,36.0,32463,,36.0,-,,36.0,12388,
24.0,433785,,24.0,-,,24.0,-502240,,24.0,-,,24.0,176121,,24.0,-,,24.0,-37822,,24.0,-,,24.0,29991,,24.0,-,,24.0,8399,,24.0,-,
