Stage 2,,,Stage 3,,,Stage 4,,,Stage 5,,,Stage 6,,,Stage 7,,,Stage 8,,,Stage 9,,,Stage 10,,,Stage 11,,,Stage 12,,,Stage 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,3635754,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,2894367,,144.0,-4011444,
,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,2464160,,132.0,-3142305,,132.0,1130972,
,,,,,,,,,,,,,,,,,,,,,,,,120.0,2078642,,120.0,-2642714,,120.0,899526,,120.0,-247011,
,,,,,,,,,,,,,,,,,,,,,108.0,1738301,,108.0,-2199893,,108.0,767477,,108.0,-183189,,108.0,122507,
,,,,,,,,,,,,,,,,,,96.0,1442396,,96.0,-1816000,,96.0,649668,,96.0,-147358,,96.0,105845,,96.0,22416,
,,,,,,,,,,,,,,,84.0,1195559,,84.0,-1485306,,84.0,553316,,84.0,-109849,,84.0,101792,,84.0,32421,,84.0,53261,
,,,,,,,,,,,,72.0,989123,,72.0,-1228217,,72.0,458087,,72.0,-91536,,72.0,83653,,72.0,25015,,72.0,42070,,72.0,34965,
,,,,,,,,,60.0,838138,,60.0,-1012709,,60.0,406212,,60.0,-50322,,60.0,93612,,60.0,44213,,60.0,58027,,60.0,51952,,60.0,52359,
,,,,,,48.0,776497,,48.0,-847759,,48.0,379282,,48.0,-8174,,48.0,108961,,48.0,66908,,48.0,77509,,48.0,71794,,48.0,71818,,48.0,70117,
,,,36.0,800703,,36.0,-813409,,36.0,334608,,36.0,1328,,36.0,97318,,36.0,62610,,36.0,70951,,36.0,66142,,36.0,66090,,36.0,64848,,36.0,64068,
24.0,569835,,24.0,-697111,,24.0,440810,,24.0,143090,,24.0,199885,,24.0,167811,,24.0,168811,,24.0,162153,,24.0,159694,,24.0,156977,,24.0,155089,,24.0,153112,
