Stage 2,,,Stage 3,,,Stage 4,,,Stage 5,,,Stage 6,,,Stage 7,,,Stage 8,,,Stage 9,,,Stage 10,,,Stage 11,,,Stage 12,,,Stage 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,2051542,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,1652886,,144.0,-,
,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,1419628,,132.0,-,,132.0,-1930391,
,,,,,,,,,,,,,,,,,,,,,,,,120.0,1208355,,120.0,-,,120.0,-1494192,,120.0,-,
,,,,,,,,,,,,,,,,,,,,,108.0,1019419,,108.0,-,,108.0,-1242236,,108.0,-,,108.0,629138,
,,,,,,,,,,,,,,,,,,96.0,853946,,96.0,-,,96.0,-1017008,,96.0,-,,96.0,516767,,96.0,-,
,,,,,,,,,,,,,,,84.0,709659,,84.0,-,,84.0,-819834,,84.0,-,,84.0,452652,,84.0,-,,84.0,-54666,
,,,,,,,,,,,,72.0,584918,,72.0,-,,72.0,-659084,,72.0,-,,72.0,390363,,72.0,-,,72.0,-27649,,72.0,-,
,,,,,,,,,60.0,472227,,60.0,-,,60.0,-517589,,60.0,-,,60.0,337408,,60.0,-,,60.0,-8800,,60.0,-,,60.0,120302,
,,,,,,48.0,456943,,48.0,-,,48.0,-360032,,48.0,-,,48.0,356202,,48.0,-,,48.0,61921,,48.0,-,,48.0,167558,,48.0,-,
,,,36.0,439238,,36.0,-,,36.0,-131012,,36.0,-,,36.0,406829,,36.0,-,,36.0,177938,,36.0,-,,36.0,252334,,36.0,-,,36.0,213485,
24.0,569835,,24.0,-,,24.0,-183771,,24.0,-,,24.0,376017,,24.0,-,,24.0,146686,,24.0,-,,24.0,218877,,24.0,-,,24.0,181700,,24.0,-,
