Stage 2,,,Stage 3,,,Stage 4,,,Stage 5,,,Stage 6,,,Stage 7,,,Stage 8,,,Stage 9,,,Stage 10,,,Stage 11,,,Stage 12,,,Stage 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0,1793289,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,1587340,,144.0,-2125261,
,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0,1460800,,132.0,-1876914,,132.0,578060,
,,,,,,,,,,,,,,,,,,,,,,,,120.0,1342782,,120.0,-1724975,,120.0,511523,,120.0,-146292,
,,,,,,,,,,,,,,,,,,,,,108.0,1233285,,108.0,-1583839,,108.0,470818,,108.0,-128457,,108.0,47796,
,,,,,,,,,,,,,,,,,,96.0,1132313,,96.0,-1453502,,96.0,433012,,96.0,-117539,,96.0,43028,,96.0,-4206,
,,,,,,,,,,,,,,,84.0,1039856,,84.0,-1333980,,84.0,398089,,84.0,-107411,,84.0,40099,,84.0,-2931,,84.0,9716,
,,,,,,,,,,,,72.0,955939,,72.0,-1225202,,72.0,366113,,72.0,-98003,,72.0,37433,,72.0,-2100,,72.0,9422,,72.0,6025,
,,,,,,,,,60.0,880243,,60.0,-1127323,,60.0,336807,,60.0,-89561,,60.0,34773,,60.0,-1524,,60.0,9059,,60.0,5964,,60.0,6867,
,,,,,,48.0,811056,,48.0,-1038396,,48.0,310797,,48.0,-81034,,48.0,33046,,48.0,-240,,48.0,9462,,48.0,6620,,48.0,7441,,48.0,7191,
,,,36.0,716036,,36.0,-948130,,36.0,280301,,36.0,-74773,,36.0,28322,,36.0,-1712,,36.0,7036,,36.0,4475,,36.0,5215,,36.0,4993,,36.0,5053,
24.0,433785,,24.0,-749156,,24.0,225787,,24.0,-50670,,24.0,29179,,24.0,5951,,24.0,12685,,24.0,10698,,24.0,11259,,24.0,11080,,24.0,11120,,24.0,11095,
